epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    2,    54,          0.29693,          0.29667,       0.00026017,           11.937,           17.022,           9.0172,           10.586
    2,    55,          0.30333,          0.30311,        0.0002126,           11.975,           17.206,           7.8422,           9.5605
    2,    56,          0.37118,          0.37093,       0.00025211,           13.133,           19.034,           8.3993,           10.418
    2,    57,          0.31155,           0.3112,       0.00034568,           12.837,           17.434,           9.7224,           12.203
    2,    58,          0.25471,          0.25444,       0.00026912,           11.152,           15.764,            8.807,           10.769
    2,    59,          0.31705,          0.31677,        0.0002874,           12.496,           17.589,            8.592,           11.119
    2,    60,          0.28981,          0.28972,       9.9581e-05,           11.834,           16.822,           5.0545,           6.5475
    2,    61,           0.3737,          0.37314,       0.00056146,           13.152,           19.091,           12.648,           15.549
    2,    62,          0.31996,          0.31977,       0.00019101,           12.416,           17.672,           7.7682,           9.0685
    2,    63,          0.32124,          0.32097,       0.00026381,           13.164,           17.706,            8.552,           10.661
    2,    64,          0.41028,          0.40996,       0.00031899,           13.557,            20.01,           9.1689,           11.724
    2,    65,          0.24201,          0.24191,       0.00010001,           11.048,           15.371,           5.3397,           6.5622
    2,    66,          0.41094,          0.41028,       0.00065731,           13.931,           20.018,           14.784,           16.821
    2,    67,          0.40631,          0.40611,       0.00019206,           12.358,           19.916,            7.233,           9.0998
    2,    68,          0.30947,          0.30922,       0.00024637,           11.657,           17.379,           8.6447,             10.3
    2,    69,          0.37783,          0.37759,       0.00023661,           13.543,           19.204,           7.7602,           10.093
    2,    70,          0.42377,          0.42352,       0.00025058,           13.809,           20.338,           7.7977,           10.385
    2,    71,          0.45934,          0.45909,       0.00025255,           14.445,           21.175,           8.5889,           10.436
    2,    72,          0.40207,          0.40174,       0.00032565,           12.904,           19.809,           9.4988,           11.847
    2,    73,          0.29472,          0.29446,       0.00025811,           11.491,           16.959,           8.5577,           10.543
    2,    74,          0.30031,          0.29992,       0.00039115,           11.728,           17.115,            10.15,           12.982
    2,    75,          0.32419,          0.32387,       0.00031262,           11.798,           17.786,           9.4702,           11.611
    2,    76,          0.33695,          0.33683,       0.00012326,           12.727,           18.138,           5.7883,           7.2893
    2,    77,          0.36912,          0.36864,       0.00048201,           13.612,           18.975,           11.165,           14.415
    2,    78,          0.27341,          0.27323,       0.00018368,           11.225,           16.336,           6.8051,           8.8887
    2,    79,          0.40233,          0.40211,       0.00022014,           13.746,           19.818,           7.2838,           9.7417
    2,    80,          0.30873,          0.30844,       0.00029243,           11.849,           17.357,           9.1254,           11.218
    2,    81,          0.45272,          0.45257,       0.00014764,            13.65,           21.024,           5.9376,           7.9746
    2,    82,          0.33211,          0.33192,       0.00018554,           12.312,           18.005,           6.6958,           8.9378
    2,    83,          0.33026,          0.32998,       0.00027672,           12.569,           17.953,           8.4023,           10.917
    2,    84,          0.28286,          0.28257,       0.00029584,           12.013,           16.613,           8.5235,            11.29
    2,    85,          0.40073,          0.40017,       0.00055965,           13.571,            19.77,           13.221,           15.526
    2,    86,          0.32406,          0.32358,       0.00048543,           12.608,           17.777,           12.214,           14.456
    2,    87,          0.25919,          0.25908,       0.00011643,           11.372,           15.907,           5.9678,           7.0858
    2,    88,          0.31357,          0.31343,       0.00014497,           11.845,           17.496,            6.308,           7.9061
    2,    89,          0.37414,          0.37383,       0.00030544,           12.296,           19.108,           9.5957,           11.466
    2,    90,          0.22403,          0.22391,       0.00012232,           10.854,           14.788,           5.6822,           7.2563
    2,    91,          0.24885,           0.2485,       0.00034385,           11.496,           15.579,           9.5893,            12.17
    2,    92,          0.37634,          0.37603,       0.00031304,           13.304,           19.164,           9.3638,           11.611
    2,    93,          0.39729,          0.39704,       0.00024436,           13.218,           19.693,            8.068,           10.256
    2,    94,          0.46447,           0.4641,       0.00037376,           13.653,           21.291,           10.219,           12.686
    2,    95,          0.30528,          0.30462,       0.00066574,           12.417,           17.249,           14.892,           16.936
    2,    96,          0.30793,          0.30769,       0.00024604,           11.779,           17.336,           8.3014,           10.296
    2,    97,          0.37975,          0.37962,       0.00013457,           13.673,           19.256,           6.0182,           7.6157
    2,    98,          0.35432,            0.354,       0.00032544,           13.548,           18.594,           9.8724,           11.838
    2,    99,          0.29199,          0.29186,       0.00012674,           11.737,           16.884,           5.6427,           7.3855
    2,   100,          0.29673,          0.29659,       0.00014195,            11.68,            17.02,           6.0307,           7.8225
    2,   101,          0.35822,          0.35803,       0.00018943,           13.183,             18.7,           6.8458,           9.0252
    2,   102,          0.27935,          0.27892,        0.0004317,           11.359,           16.505,           9.6579,           13.634
    2,   103,          0.22489,          0.22476,       0.00012707,           10.568,           14.816,           6.2605,           7.3972
    2,   104,          0.32788,          0.32751,       0.00036966,           11.744,           17.885,           10.703,           12.617
    2,   105,          0.21884,          0.21846,       0.00037737,           10.493,           14.607,           10.366,           12.741
    2,   106,          0.34504,          0.34472,       0.00032696,           12.629,           18.349,           9.6823,           11.871
